id,shopName,shopAddress
1,肯德基静安常德路店餐厅,静安区常德路770号
1,肯德基静安茂名餐厅,吴江路269号2层
1,肯德基静安南广场餐厅,秣陵路303号
1,肯德基静安莘漕餐厅,漕宝路1574号一楼1021号
1,肯德基静安昌平餐厅,常德路778号102商铺
1,肯德基静安秀山餐厅,番愚路872号一层
1,肯德基静安百乐餐厅,北京西路1829号
1,肯德基浦东新浦东机场一店餐厅,磁悬浮浦东机场站2楼A01
1,肯德基浦东新张江高科餐厅,碧波路635号
1,肯德基浦东新浦东机场二店餐厅,磁悬浮浦东机场站2楼A07
1,肯德基浦东新上海科技馆站店餐厅,地铁二号线上海科技馆站7号出口(近世纪大道)
1,肯德基浦东新正大精选餐厅,陆家嘴西路168号正大广场8楼
1,肯德基浦东新新金桥路店餐厅,新金桥路1088号A幢1-2楼(近金港路)
1,肯德基浦东新金杨餐厅,金杨路524号
1,肯德基浦东新潍坊店餐厅,崂山路585号(近潍坊路)
1,肯德基浦东新浦三餐厅,浦东南路2551号
1,肯德基浦东新八佰伴店餐厅,浦东南路1111号(八佰伴旁)
1,肯德基浦东新金桥餐厅,"张杨路3611弄1号123,124,216室"
1,肯德基浦东新龙阳餐厅,龙阳路2000号
1,肯德基浦东新乳山餐厅,乳山路136号
1,肯德基浦东新巨峰餐厅,巨峰路239号
1,肯德基浦东新联洋餐厅,芳甸路193号
1,肯德基浦东新长清店餐厅,浦东新区昌里路337号浦东商场B1楼(近历城路)
1,肯德基浦东新银城餐厅,陆家嘴西路168号正大广场5楼
1,肯德基浦东新中融店餐厅,浦东南路1068号中融国际商城1楼(近张杨路)
1,肯德基浦东新长岛餐厅,长岛路1150号1层
1,肯德基浦东新东明路店餐厅,东明路2655号
1,肯德基浦东新博山东路店餐厅,博山东路50号
1,肯德基浦东新成山餐厅,成山路436号
1,肯德基浦东新灵岩南路店餐厅,灵岩南路1026号
1,肯德基浦东新高青餐厅,长清路1200弄1号1号商铺
1,肯德基浦东新夏碧路店餐厅,夏碧路世纪联华门口(近张扬北路)
1,肯德基浦东新碧波路店餐厅,碧波路139号(近张江地铁站)
1,肯德基浦东新上南路店餐厅,浦东新区上南路3521号宝丰综合市场内
1,肯德基浦东新台中南路店餐厅,浦东新区台中南路2号新贸楼1楼
1,肯德基浦东新丁香餐厅,世纪大道2002号
1,肯德基浦东新浦南餐厅,浦东南路800号
1,肯德基浦东新五莲餐厅,张扬北路801号
1,肯德基浦东新高科中路店餐厅,高科中路2860号家乐福(近外环线)
1,肯德基浦东新银霄餐厅,银霄路393号百安居龙阳店一层
1,肯德基浦东新川沙餐厅,新川路401号
1,肯德基浦东新杨高中路店餐厅,浦东新区杨高中路2128号正大生活馆内
1,肯德基浦东新川沙家乐福店餐厅,妙境路1118号家乐福1楼(近川沙长途汽车站)
1,肯德基浦东新灵山路店餐厅,灵山路1785号
1,肯德基浦东新金高餐厅,金高路1256号
